foodid;foodname;energia_laskennallinen;rasva;hiilihydraatti_imeytyvä;hiilihydraatti_erotuksena;proteiini;alkoholi;tuhka;vesi
32386;ATERIAKASTIKE, TIKKA MASALA, UNCLE BENS, VALMISKASTIKE;455.64000;7.20200;9.03500;10.15400;1.31000;0.00000;1.82300;79.56000
5907;(ARC) TEOLLISUUSUPPOPAISTORASVA;3700.00000;100.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
33095;PÄHKINÄ, PEKAANIPÄHKINÄ;2970.89000;71.97000;4.43000;13.86000;9.17000;0.00000;1.49000;3.52000
32719;JAUHELIHA-PASTAKEITTO, NAUDANPAISTI, KASVIKSIA;308.72000;2.96300;6.43300;7.86900;4.83000;0.00000;1.06900;75.75000
33561;PORSAANNUGGETTI, RYPSIPORSASNUGGETTI, HK;1385.14000;22.18000;16.45200;18.20400;16.26000;0.00000;1.68600;39.58000
1030;NELJÄNVILJANPUURO, MAITO, SUOLAA;338.68000;1.75300;11.10100;14.33500;4.14000;0.00000;1.33100;88.20000
32149;KESÄKURPITSA, KEITETTY, SUOLATON;91.75000;0.47600;2.97600;3.81000;0.77000;0.00000;0.59500;94.45000
803;SILLI, TYNNYRIIN SUOLATTU;670.78000;12.07000;0.00000;0.00000;13.19000;0.00000;13.00000;61.74000
35638;PAPU, MUSTA, MUSTAPAPU, SUOLALIEMESSÄ, SÄILYKE;332.49000;0.29000;9.65000;16.55000;6.03000;0.00000;1.49000;75.64000
34865;YRTTI, TUORE, KESKIARVO;108.54000;0.51300;0.89100;5.33400;2.66000;0.00000;1.90400;90.41000
33629;RAHKA, JÄLKIRUOKA/VÄLIPALA, TEOLLINEN, TUOTEKESKIARVO;455.98000;2.91200;12.14900;12.85600;7.60000;0.00000;0.76000;75.87000
34918;RASVASEOSLEVITE 70 %, BECEL VOI & KASVIÖLJYT;2597.99000;69.80000;0.49000;1.40000;0.40000;0.00000;1.20000;27.20000
35;MAKEINEN, SOKERITON;812.00000;0.00000;0.00000;88.50000;0.00000;0.00000;1.50000;10.00000
